Model,Correlation,Std_Model,TSS,Std_Ref
CHIRPS,1.0,2.736,1.0,0.7574769407414299
ACCESS-CM2,0.667,2.654,0.338,0.7574769407414299
ACCESS-ESM1-5,0.594,3.026,0.264,0.7574769407414299
AWI-ESM-1-1-LR,0.68,2.481,0.461,0.7574769407414299
BCC-ESM1,0.715,2.431,0.504,0.7574769407414299
CESM2-WACCM,0.736,2.796,0.475,0.7574769407414299
CMCC-CM2-HR4,0.711,2.45,0.481,0.7574769407414299
EC-Earth3-CC,0.832,2.332,0.603,0.7574769407414299
FGOALS-f3-L,0.727,2.585,0.436,0.7574769407414299
GFDL-ESM4,0.708,2.22,0.476,0.7574769407414299
GISS-E2-1-G,0.586,4.422,0.091,0.7574769407414299
IITM-ESM,0.59,1.991,0.369,0.7574769407414299
INM-CM4-8,0.748,3.331,0.29,0.7574769407414299
IPSL-CM6A-LR,0.738,2.021,0.476,0.7574769407414299
KACE-1-0-G,0.709,2.499,0.46,0.7574769407414299
KIOST-ESM,0.789,1.837,0.554,0.7574769407414299
MIROC6,0.668,2.895,0.367,0.7574769407414299
MPI-ESM-1-2-HAM,0.616,2.449,0.37,0.7574769407414299
NESM3,0.693,2.532,0.452,0.7574769407414299
SAM0-UNICON,0.829,3.115,0.503,0.7574769407414299
TaiESM1,0.678,4.683,0.144,0.7574769407414299
AMME,0.806,2.388,0.56,0.7574769407414299
BMME,0.847,2.225,0.624,0.7574769407414299
RMME,0.785,2.477,0.526,0.7574769407414299
