Scenario,Model,Zone,RMSE,MAE,R2
SSP585,LinearRegression,Afghanistan,0.45119680761004227,0.35466473791684394,0.589738006378447
SSP585,LinearRegression,Bangladesh,3.5535813186644574,2.608906800921454,0.7519597329717878
SSP585,LinearRegression,Bhutan,2.8430680523924714,1.9909836681459874,0.5342763875115109
SSP585,LinearRegression,Myanmar,2.0285002373716754,1.4653860145627107,0.8549951322639694
SSP585,LinearRegression,Nepal,1.1200121854244063,0.9467082005017725,0.8958981295494937
SSP585,LinearRegression,Pakistan,0.7676243872725333,0.5896240872099255,0.4308323326323926
SSP585,LinearRegression,Sri Lanka,4.0488216982509835,3.6753296232927593,0.032276493117650795
SSP585,LinearRegression,Zone 1,1.234408232475538,0.9659402774691491,0.29746977755106296
SSP585,LinearRegression,Zone 10,1.9798010302917228,1.7634693406906987,0.42036688101304154
SSP585,LinearRegression,Zone 11,1.5520605179181333,1.454152305501121,0.6646087756838649
SSP585,LinearRegression,Zone 12,7.695952417179235,5.707251685403437,0.3962416202925274
SSP585,LinearRegression,Zone 13,3.1594765338911457,2.1552443018301495,0.40956241693278017
SSP585,LinearRegression,Zone 14,1.940239098999516,1.3497906393311017,0.35399908634907906
SSP585,LinearRegression,Zone 15,5.196615797201723,3.9287258718697413,0.5948932187395986
SSP585,LinearRegression,Zone 2,2.44978383625074,1.7428458909765274,0.7582968219773284
SSP585,LinearRegression,Zone 3,2.3647914618998054,1.9362395632412053,0.77089462289078
SSP585,LinearRegression,Zone 4,1.21014985691546,1.0235499403146415,0.897563806029378
SSP585,LinearRegression,Zone 5,2.0591270320026234,1.1138852853544057,0.7512694827260179
SSP585,LinearRegression,Zone 6,1.86348176984234,1.5283883257648145,0.5401594374857636
SSP585,LinearRegression,Zone 7,1.2922623768484178,0.8459234684249588,0.919612368131603
SSP585,LinearRegression,Zone 8,2.799482476861774,1.4891899007307894,0.673619269738178
SSP585,LinearRegression,Zone 9,2.9453893800517275,1.9819799621282008,0.4852197971919605
SSP585,RandomForest,Afghanistan,0.4416489687299498,0.2786827698187223,0.6069175166685608
SSP585,RandomForest,Bangladesh,2.66078487897211,1.9588027447726688,0.8609377660924681
SSP585,RandomForest,Bhutan,1.82967393726764,1.3045969958852028,0.8071138028826864
SSP585,RandomForest,Myanmar,1.3989526372092245,0.9335624416408094,0.9310334536298149
SSP585,RandomForest,Nepal,1.111450961263545,0.8501890863362016,0.8974835287123781
SSP585,RandomForest,Pakistan,0.5364958750061872,0.43202567442743733,0.7219803655412957
SSP585,RandomForest,Sri Lanka,3.6200625331005147,3.057377671395099,0.226382772638543
SSP585,RandomForest,Zone 1,0.6462488398223953,0.5228471174366448,0.8074484823199571
SSP585,RandomForest,Zone 10,1.5222982654533703,1.0910285973898508,0.6573035501661597
SSP585,RandomForest,Zone 11,1.112240453954743,0.9215530868989652,0.8277608925111153
SSP585,RandomForest,Zone 12,5.2544915193813875,3.4477793600120905,0.7185509321603484
SSP585,RandomForest,Zone 13,3.4524666577337317,1.752707611023471,0.29497793106026327
SSP585,RandomForest,Zone 14,1.6704818183887613,0.9564950384004587,0.5211426759323174
SSP585,RandomForest,Zone 15,4.243934136753837,2.8946669939166987,0.7298123056387489
SSP585,RandomForest,Zone 2,1.4762559617127518,1.0143696494561791,0.9122291791364245
SSP585,RandomForest,Zone 3,1.7767689044561938,1.3077910470804504,0.8706663677227924
SSP585,RandomForest,Zone 4,1.6519967276569327,0.8882753926018365,0.8091054666438597
SSP585,RandomForest,Zone 5,1.5306979831435044,1.0981597179018374,0.8625509276965089
SSP585,RandomForest,Zone 6,1.6392501770061885,1.0144090781423387,0.6441659864032374
SSP585,RandomForest,Zone 7,1.1437456759542923,0.7158799673686667,0.9370281047131078
SSP585,RandomForest,Zone 8,2.8073631872207843,1.4349320128686542,0.6717791208194464
SSP585,RandomForest,Zone 9,2.1690008875102467,1.4370135902482684,0.720838281653071
SSP585,GradientBoosting,Afghanistan,0.5648332294891975,0.3522256526096886,0.35706106433975815
SSP585,GradientBoosting,Bangladesh,2.710140101101129,2.071816863856691,0.8557309544035986
SSP585,GradientBoosting,Bhutan,1.171879568735024,0.8492809665036298,0.9208739088042772
SSP585,GradientBoosting,Myanmar,1.5084033121751637,0.9749691202482209,0.9198197491716835
SSP585,GradientBoosting,Nepal,1.0602831648898612,0.8024468300092596,0.9067053437421607
SSP585,GradientBoosting,Pakistan,0.5043709795966158,0.444824111061411,0.7542786604154224
SSP585,GradientBoosting,Sri Lanka,3.7695752000797333,2.8638996060267736,0.16116062071378667
SSP585,GradientBoosting,Zone 1,0.6094629554270353,0.5105365820584177,0.8287454890722408
SSP585,GradientBoosting,Zone 10,1.3584888361748453,1.0273411816653586,0.7270882414184545
SSP585,GradientBoosting,Zone 11,1.1302702238785494,0.8407919361502064,0.8221315315531478
SSP585,GradientBoosting,Zone 12,5.099452550367623,3.3382131959550647,0.7349147678525286
SSP585,GradientBoosting,Zone 13,2.9117458561474328,1.454897735886216,0.498523417282804
SSP585,GradientBoosting,Zone 14,1.1757794835075184,0.667059561180797,0.7627673917864487
SSP585,GradientBoosting,Zone 15,4.931476646168632,3.451579285539198,0.6351769613786343
SSP585,GradientBoosting,Zone 2,1.8646479600011339,1.1979334148853549,0.8599701795848894
SSP585,GradientBoosting,Zone 3,2.2843052160034145,1.4540013744162625,0.7862245409469999
SSP585,GradientBoosting,Zone 4,1.5707078904144764,0.8682931365202188,0.8274297306024058
SSP585,GradientBoosting,Zone 5,1.3320543730403305,0.8858774097244236,0.8959105537080233
SSP585,GradientBoosting,Zone 6,1.4104221464763347,0.993077773693817,0.7365760740077557
SSP585,GradientBoosting,Zone 7,1.2662740630521716,0.6302956406702259,0.9228131607959404
SSP585,GradientBoosting,Zone 8,2.7200680777666726,1.4402747333832986,0.6918738550912431
SSP585,GradientBoosting,Zone 9,2.553047513213741,1.6452650316661022,0.6132287375650306
SSP585,SVR,Afghanistan,0.7311490213568901,0.5269513742820036,-0.07731090450334
SSP585,SVR,Bangladesh,7.407915512498326,6.382797473093107,-0.07790804951681207
