time,Afghanistan_corrected,Bangladesh_corrected,Bhutan_corrected,Myanmar_corrected,Nepal_corrected,Pakistan_corrected,Sri Lanka_corrected,Zone 1_corrected,Zone 10_corrected,Zone 11_corrected,Zone 12_corrected,Zone 13_corrected,Zone 14_corrected,Zone 15_corrected,Zone 2_corrected,Zone 3_corrected,Zone 4_corrected,Zone 5_corrected,Zone 6_corrected,Zone 7_corrected,Zone 8_corrected,Zone 9_corrected
2025-01-01,0.95507175,0.92245936,0.14062117,0.32257625,0.39157233,0.56725955,6.252065,1.2775967,0.2370046,0.48086306,2.090957,0.86584795,0.29403633,0.26483953,0.54907995,0.98690426,0.14583012,1.2702022,1.6442783,0.47746253,0.76761734,-0.08557387
2025-02-01,1.089309,0.33952364,1.9165254,0.5109653,0.5079789,0.3850568,7.249929,1.0153912,1.0257483,0.51462346,0.16846296,0.005493407,0.13210969,0.6590634,1.9790666,0.34912774,0.2576131,1.8766704,0.16233732,1.062297,0.1725794,0.12549658
2025-03-01,0.8986709,1.9408286,0.7874534,0.84634376,2.3830779,0.66029114,6.697405,1.48953,0.6059205,0.66117066,1.0707666,0.059850007,0.20283817,0.8109368,0.88393384,1.0669845,0.49781227,1.9265057,0.60957295,0.33514026,0.16179854,0.23628874
2025-04-01,0.84752375,3.5311143,3.9655757,2.2037187,0.792015,0.3608216,7.9373503,1.0212176,2.1034222,1.8080246,6.240184,0.03856868,0.24588813,13.643759,5.0421185,1.8182653,0.58684367,0.42938188,0.5252019,1.0157906,0.24101129,0.43150824
2025-05-01,0.4669402,7.381474,4.2355175,4.975668,1.5050324,0.6537756,7.06687,1.5517411,3.3764858,3.783514,6.1564164,0.32794705,1.2307119,15.039604,5.291691,6.70307,3.4716427,0.801639,0.89820766,1.1019813,0.5173555,0.56112313
2025-06-01,0.0884864,14.046901,10.443617,9.853078,5.2244325,1.0628203,8.502077,2.6257925,3.2095344,5.5659328,18.144657,2.9553363,0.8811368,14.783635,13.819148,9.023315,3.9664917,4.2083764,2.4961107,8.431547,5.01954,5.4378395
2025-07-01,0.18828566,11.900594,8.344939,12.966128,9.165623,3.164858,4.386231,5.0954304,4.8869057,5.981336,27.09086,13.07316,7.05797,12.798168,8.937319,8.133576,6.050117,9.048268,9.764529,9.545603,7.7510858,11.425507
2025-08-01,0.17284869,11.333687,8.152387,11.615357,9.2383175,0.7411807,5.035433,4.1764107,7.202539,6.015485,5.0456896,3.5640075,1.1505873,13.095229,8.93119,9.236158,9.355331,6.6606493,5.2546735,9.487195,6.115158,6.1044264
2025-09-01,0.07804275,8.451351,5.738715,8.760402,6.5191956,1.1896355,9.743445,2.4722052,1.8384718,4.24049,8.570591,5.1197643,1.8308568,13.629218,6.640894,8.625565,4.7550397,6.5555606,3.2751667,7.3909483,6.3067875,8.415259
2025-10-01,0.12345459,7.389892,2.4756896,6.5650744,2.0340128,0.2445261,14.142344,0.6481146,3.7945735,3.8420663,5.592756,0.34090135,0.39953884,8.96259,5.2270646,4.380472,7.046433,4.987624,3.393821,3.4766126,0.30319718,0.40884194
