Model,Zone,RMSE
LightGBM,Afghanistan,0.4598773254664527
LightGBM,Bangladesh,3.117859470745141
XGBoost,Bhutan,1.5301957941540523
RandomForest,Myanmar,1.2448721252371826
CatBoost,Nepal,1.0369080380897124
LightGBM,Pakistan,0.6568552083594801
GradientBoosting,Sri Lanka,3.546335171008118
RandomForest,Zone 1,0.6192712910011123
XGBoost,Zone 10,1.14047894297456
GradientBoosting,Zone 11,1.1578752934497891
RandomForest,Zone 12,3.5221367333496767
LightGBM,Zone 13,2.0027159674077497
LightGBM,Zone 14,1.1823604418812785
LightGBM,Zone 15,4.295111539119488
LightGBM,Zone 2,1.5034716880882508
RandomForest,Zone 3,1.4383345620804073
LightGBM,Zone 4,0.9499793658451687
XGBoost,Zone 5,1.1689591299303708
LightGBM,Zone 6,1.641403245775375
LinearRegression,Zone 7,1.0606121028458124
LinearRegression,Zone 8,1.8178981300566288
XGBoost,Zone 9,0.9543831238062168
