Zone,BestModel,Raw_RMSE,ML_RMSE,Skill
Afghanistan,RandomForest,0.3737552897741121,0.43915219547713374,-0.174972522108104
Bangladesh,LightGBM,4.003801480270163,2.202200640463796,0.4499725694903337
Bhutan,CatBoost,3.374833427997629,1.0426000187302036,0.6910662286082654
Myanmar,RandomForest,2.269587830829505,1.3430169980935187,0.4082551114126025
Nepal,LightGBM,1.000088870079067,1.0286906830742644,-0.02859927137568885
Pakistan,GradientBoosting,0.8448335559689832,0.5514776864354591,0.34723510620628595
Sri Lanka,XGBoost,3.7965784534334004,3.614134715380915,0.048054778872669957
Zone 1,GradientBoosting,1.4503140491575621,0.606028872873023,0.5821395557568759
Zone 10,GradientBoosting,2.4130490695099915,1.3597967083336755,0.43648194911767624
Zone 11,LightGBM,2.101994683887629,0.9122899354510746,0.5659884668386512
Zone 12,XGBoost,9.15157937964428,4.656994351918409,0.49112670515901424
Zone 13,LightGBM,3.8977633384584887,2.096725161421386,0.4620696590956669
Zone 14,GradientBoosting,2.2919924441919406,1.1757794835075184,0.48700551501074063
Zone 15,RandomForest,6.665586766787344,4.339411196315564,0.34898286555392666
Zone 2,RandomForest,2.40092786233825,1.4918502609221846,0.3786359497409971
Zone 3,RandomForest,2.4801388020564925,1.8766512313928065,0.24332814363586563
Zone 4,LinearRegression,1.0679695525368773,1.21014985691546,-0.133131421247773
Zone 5,GradientBoosting,2.5069001574105245,1.362779990369354,0.4563884060795532
Zone 6,LightGBM,2.2029814479716356,1.0693401219882759,0.5145941319783442
Zone 7,LightGBM,2.1478535936677967,1.075328318677688,0.49934747794359835
Zone 8,LightGBM,3.926234443082787,2.183828447289238,0.4437855204656227
Zone 9,LightGBM,3.4901176777856566,1.4619541458443295,0.5811160881051203
