polygon,month,slope
Sri Lanka,1,-0.0015450331287622475
Afghanistan,1,-9.759353315121847e-05
Myanmar,1,0.005355460791749724
Nepal,1,0.004027053019281245
Pakistan,1,-0.0016103449086263004
Bhutan,1,0.004193439182115188
Bangladesh,1,0.0005222050110264386
Zone 7,1,-0.004343541394125929
Zone 13,1,0.00010544129025236722
Zone 14,1,-0.0004952862388436567
Zone 6,1,-0.0050750987942745655
Zone 15,1,-0.0026826660663693777
Zone 5,1,0.002324097742326492
Zone 8,1,-0.0008717551551035529
Zone 9,1,-0.0016679490248147123
Zone 10,1,-0.004143409542509662
Zone 12,1,-0.0038677093659963647
Zone 11,1,-0.003071473378947833
Zone 4,1,-0.002509628880959713
Zone 3,1,-0.0036757790735127537
Zone 2,1,0.011363462944473091
Zone 1,1,-0.005306430379719532
Sri Lanka,2,-0.02007100747244911
Afghanistan,2,-0.0017209123466226772
Myanmar,2,-0.003440605800183916
Nepal,2,-0.004474053983517507
Pakistan,2,-7.064883727274122e-05
Bhutan,2,-0.006081288542455851
Bangladesh,2,-0.010826157052256735
Zone 7,2,-0.012253485039370614
Zone 13,2,7.224072910896912e-05
Zone 14,2,0.0009637558347547811
Zone 6,2,0.003990356649030226
Zone 15,2,-0.0005754087278789949
Zone 5,2,-0.0030160022308214685
Zone 8,2,0.0005084208654380505
Zone 9,2,-0.0010958644326010474
Zone 10,2,-0.003085175606327576
Zone 12,2,-0.0013018132924782645
Zone 11,2,-0.00812850160249511
Zone 4,2,-0.007547062386710626
Zone 3,2,-0.01262874367081116
Zone 2,2,-0.004285774976150433
Zone 1,2,-0.000192932577947949
Sri Lanka,3,-0.015179106995916456
Afghanistan,3,0.004900829143175175
Myanmar,3,0.0005186498088369715
Nepal,3,-0.008023222971251267
Pakistan,3,-0.0014911905195365942
Bhutan,3,0.001231417052555378
Bangladesh,3,-0.0005671249121975085
Zone 7,3,-0.005123181305762631
Zone 13,3,-0.00031833178195162805
Zone 14,3,-0.0018649231287878442
Zone 6,3,-0.006964544921351494
Zone 15,3,0.0002408440909373282
Zone 5,3,-0.005559659524160813
Zone 8,3,-0.0023193570507326305
Zone 9,3,-0.0019496639788338954
Zone 10,3,-0.003009793950283445
Zone 12,3,-0.005371771000669963
Zone 11,3,-0.006726588199346586
Zone 4,3,-0.003407007552189118
Zone 3,3,-0.002264287323294865
Zone 2,3,0.007305419523494971
Zone 1,3,-0.004338214968308701
Sri Lanka,4,-0.009020808603985294
Afghanistan,4,0.006883580791460742
Myanmar,4,-0.01879650735417323
Nepal,4,-0.007618880677163821
Pakistan,4,0.0032854541493518522
Bhutan,4,-0.018306764963564204
Bangladesh,4,-0.02709128416266247
Zone 7,4,0.0014946112780896243
Zone 13,4,-0.00022379763715692187
Zone 14,4,-0.00016786391930603646
Zone 6,4,-0.00337476530209363
Zone 15,4,-0.012665942981904618
Zone 5,4,-0.0030538140125730188
Zone 8,4,0.0009147589340463029
Zone 9,4,0.0028463199418518196
Zone 10,4,0.0014406585981811212
Zone 12,4,-0.0007501321608994005
Zone 11,4,0.00020637882538967204
Zone 4,4,-0.007602974458612097
Zone 3,4,-0.014287444633669101
Zone 2,4,-0.02017098533714318
Zone 1,4,-0.0047476698598134595
Sri Lanka,5,0.007444281575992739
Afghanistan,5,0.003496469578140594
Myanmar,5,-0.016964425027224967
Nepal,5,0.01280971278204446
Pakistan,5,0.004352043325873519
Bhutan,5,0.045537324201571465
Bangladesh,5,0.0058084285242166285
Zone 7,5,0.007525306558916135
Zone 13,5,0.0007770122735797959
Zone 14,5,0.0043575295269414355
Zone 6,5,0.003581838278451286
Zone 15,5,-0.03721951409701831
Zone 5,5,0.000734921496680373
Zone 8,5,0.001023786511462874
Zone 9,5,0.002385644525057375
Zone 10,5,0.011935925533641735
Zone 12,5,0.0166286805195912
Zone 11,5,0.009585128851871724
Zone 4,5,0.005229840510868906
Zone 3,5,0.0026972676910136974
Zone 2,5,0.006198759121565442
Zone 1,5,0.007669411912770468
Sri Lanka,6,0.04855091450057073
Afghanistan,6,-0.0027870002565429917
Myanmar,6,0.03772115214897828
Nepal,6,0.01553862163297088
Pakistan,6,-0.001139422620644019
Bhutan,6,0.07898516553203637
Bangladesh,6,0.006097026973027445
Zone 7,6,-0.016249346416772552
Zone 13,6,-0.013624549377743756
Zone 14,6,-0.00594612369549664
Zone 6,6,0.005714406544596042
Zone 15,6,0.0037592046700113
Zone 5,6,-0.00028494682218674724
Zone 8,6,-0.004998609738538139
Zone 9,6,0.004887574988918068
Zone 10,6,-0.0036367368772230887
Zone 12,6,0.022367890553482237
Zone 11,6,-0.011886708882115387
Zone 4,6,-0.007915688778647584
Zone 3,6,-0.015593485765115633
Zone 2,6,0.03649894721426345
Zone 1,6,0.0014825326571876
Sri Lanka,7,0.018106124402701106
Afghanistan,7,0.0038611077712069
Myanmar,7,0.01861327785526245
Nepal,7,0.04102557681109479
Pakistan,7,0.014575599607671366
Bhutan,7,0.07271063915602556
Bangladesh,7,0.00241370299242799
Zone 7,7,0.005091546316448466
Zone 13,7,0.014457445822306915
Zone 14,7,0.006164868800084519
Zone 6,7,-0.0074424129580132345
Zone 15,7,0.006758213800875461
Zone 5,7,0.0034955785192187215
Zone 8,7,0.006209751774960979
Zone 9,7,0.009967913671265915
Zone 10,7,0.03360531401707201
Zone 12,7,0.040176015541783835
Zone 11,7,0.02466142769139081
Zone 4,7,0.035002241575810195
Zone 3,7,-0.0003179019953164485
Zone 2,7,0.04663342856993107
Zone 1,7,0.00680755517622505
Sri Lanka,8,0.018985288775521938
Afghanistan,8,0.000900019505234005
Myanmar,8,0.024259758299078234
Nepal,8,0.03733759955352163
Pakistan,8,0.003289357063465083
Bhutan,8,0.012290599050851581
Bangladesh,8,-0.026185591627712276
Zone 7,8,0.026986787312320987
Zone 13,8,-0.00921818462690873
Zone 14,8,0.0032290024067822983
Zone 6,8,0.019345066956031318
Zone 15,8,0.04278906294187953
Zone 5,8,-0.0063970740149756995
Zone 8,8,0.008287452139048298
Zone 9,8,0.025203023778690246
Zone 10,8,0.04307362001843666
Zone 12,8,0.04216313635850613
Zone 11,8,0.02928318252653734
Zone 4,8,0.014446773926360767
Zone 3,8,0.011191029624226419
Zone 2,8,-0.021889901506745777
Zone 1,8,0.017362164577665474
Sri Lanka,9,-0.0032356850450686366
Afghanistan,9,-0.0011936360249169477
Myanmar,9,-0.000994399942886668
Nepal,9,0.023299554114066822
Pakistan,9,0.0025086084859976274
Bhutan,9,0.028248503083375835
Bangladesh,9,0.0349683101047816
Zone 7,9,0.018655465526520365
Zone 13,9,-0.0015264776935254125
Zone 14,9,0.006224357403255059
Zone 6,9,0.016861126780935008
Zone 15,9,0.007531667684004092
Zone 5,9,0.02989356043951338
Zone 8,9,0.0036444641871251843
Zone 9,9,0.012277460037029812
Zone 10,9,0.021064158925255
Zone 12,9,0.050784537763816445
Zone 11,9,0.0192936941743651
Zone 4,9,0.04575244262544106
Zone 3,9,0.04951593172994831
Zone 2,9,-0.0020447499292707686
Zone 1,9,0.022638498941620958
Sri Lanka,10,-0.013480138531568805
Afghanistan,10,0.004473046636569288
Myanmar,10,0.015087341108128167
Nepal,10,-0.0057077559920019364
Pakistan,10,0.005702476401644249
Bhutan,10,0.004437855540212937
Bangladesh,10,0.0016279192921396504
Zone 7,10,-0.007937176758884652
Zone 13,10,0.0007727040252152823
Zone 14,10,0.004262623009372661
Zone 6,10,0.0027416198989695497
Zone 15,10,0.03704767966246545
Zone 5,10,0.0033663436430048294
Zone 8,10,-0.001229472318190233
Zone 9,10,-0.003652659838531133
Zone 10,10,0.01347194144315195
Zone 12,10,0.03228723103496745
Zone 11,10,0.004324411075664345
Zone 4,10,-0.00789668395002678
Zone 3,10,-0.0034390482145786974
Zone 2,10,0.018543134285138
Zone 1,10,0.0034029133753471523
Sri Lanka,11,-0.0741740479344997
Afghanistan,11,0.003154708580379003
Myanmar,11,-0.011064849228452385
Nepal,11,0.0068551280718007505
Pakistan,11,0.0017873939272029598
Bhutan,11,-0.0026070253060549897
Bangladesh,11,-0.016447938398112254
Zone 7,11,-0.005217214950517489
Zone 13,11,0.0003967257291191398
Zone 14,11,0.006165974673382752
Zone 6,11,0.008091641697644071
Zone 15,11,-0.006145360335090606
Zone 5,11,0.006951906211220368
Zone 8,11,0.0058899523491509585
Zone 9,11,-0.005197170873282609
Zone 10,11,-0.01863550487144882
Zone 12,11,-0.01809846310383546
Zone 11,11,-0.034675602552069806
Zone 4,11,0.0010084478011414078
Zone 3,11,-0.015434529045022327
Zone 2,11,-0.01068339375105192
Zone 1,11,0.017365223142054527
Sri Lanka,12,0.00416152225955661
Afghanistan,12,-0.003122928804833719
Myanmar,12,0.00035719905482819444
Nepal,12,0.0033030325506118786
Pakistan,12,-0.0027548148933317653
Bhutan,12,-0.008493320926892053
Bangladesh,12,4.178028697149961e-05
Zone 7,12,-0.0013681837841951297
Zone 13,12,-0.002338794117145261
Zone 14,12,0.0002428283991131455
Zone 6,12,0.007008663570364072
Zone 15,12,0.001494696613483664
Zone 5,12,0.0075218652376031914
