polygon,month,slope
Sri Lanka,1,0.0461243945441833
Afghanistan,1,0.0007738302631438466
Myanmar,1,0.0003822958770698243
Nepal,1,-0.002001430862067851
Pakistan,1,0.0003990819059384171
Bhutan,1,-0.004706429893358804
Bangladesh,1,-0.004324245123002495
Zone 7,1,-0.004602042051714036
Zone 13,1,0.0002104249972004226
Zone 14,1,-0.0008279412560584755
Zone 6,1,-0.011351142116870005
Zone 15,1,0.015036311900393699
Zone 5,1,-0.004444026061642061
Zone 8,1,-0.0027302633594149437
Zone 9,1,-0.0023712509975760245
Zone 10,1,-0.002326367657387891
Zone 12,1,-0.002125449732495503
Zone 11,1,-0.003942510630489501
Zone 4,1,-0.0035364685075509185
Zone 3,1,-0.002119928183735263
Zone 2,1,-0.003888759012622044
Zone 1,1,-0.004168419978517799
Sri Lanka,2,0.02401561270747536
Afghanistan,2,0.021387912795993475
Myanmar,2,-0.0029645743541298754
Nepal,2,0.02096241242144704
Pakistan,2,0.009040553314350355
Bhutan,2,-0.001533213767608319
Bangladesh,2,-0.005636364552122322
Zone 7,2,-0.002162941992502577
Zone 13,2,0.00030010728338581214
Zone 14,2,0.0034185745360615235
Zone 6,2,0.007889026091463058
Zone 15,2,0.004846704522484881
Zone 5,2,0.01752034991510446
Zone 8,2,0.0051585466142030955
Zone 9,2,-0.00016761092687415577
Zone 10,2,0.0003627447925738185
Zone 12,2,0.001647975680726682
Zone 11,2,-0.00010859006381329322
Zone 4,2,0.007841992582083488
Zone 3,2,-0.008096681141234033
Zone 2,2,-0.005392842082248543
Zone 1,2,0.022392361135672067
Sri Lanka,3,0.0899673773241293
Afghanistan,3,0.0025893865547080273
Myanmar,3,0.005216815806157276
Nepal,3,-0.0038888337713350197
Pakistan,3,-0.00599353164560497
Bhutan,3,-0.005154784161305098
Bangladesh,3,-0.01878459090399841
Zone 7,3,-0.00198767886567595
Zone 13,3,-0.00024431079686428487
Zone 14,3,-0.00047764031191330154
Zone 6,3,-0.018279324798868977
Zone 15,3,0.006637619883829163
Zone 5,3,-0.005255424201048376
Zone 8,3,0.0008374950318669111
Zone 9,3,0.0018718646172339378
Zone 10,3,0.0050898721315810426
Zone 12,3,0.012217152353343592
Zone 11,3,0.006387874288625053
Zone 4,3,-0.006234960178480498
Zone 3,3,-0.007684172335282165
Zone 2,3,-0.012138770043146107
Zone 1,3,-0.02483029800733531
Sri Lanka,4,0.15748570190355193
Afghanistan,4,0.017221169757083012
Myanmar,4,0.006214695108433288
Nepal,4,0.008228679232090056
Pakistan,4,0.01159586130281048
Bhutan,4,0.041662787040604866
