Model,Correlation,Std_Model,Std_Ref,TSS,Rank
CHIRPS,1.0,0.6391803715878868,0.6391803715878868,1.0,1
TaiESM1,0.7683575918466421,0.8060600768138453,0.6391803715878868,0.42885823679550683,2
GFDL-ESM4,0.608809286351519,0.6154546750492248,0.6391803715878868,0.3857044379075262,3
EC-Earth3-CC,0.577841542199632,0.5621431194607883,0.6391803715878868,0.38474320025794073,4
BMME,0.5886765568332114,0.6259258692939046,0.6391803715878868,0.365170139991407,5
AMME,0.5986290937036025,0.6955519498162591,0.6391803715878868,0.3361790327797324,6
RMME,0.5973918032417771,0.723725278654023,0.6391803715878868,0.31837745491557834,7
AWI-ESM-1-1-LR,0.5868250703615654,0.7114761241294429,0.6391803715878868,0.3171350900630494,8
KIOST-ESM,0.45820906765807956,0.5714392065165022,0.6391803715878868,0.30000911141653686,9
CESM2-WACCM,0.598027066772991,0.7749956296017387,0.6391803715878868,0.2858850622311252,10
SAM0-UNICON,0.7380027233712426,0.9718819246899388,0.6391803715878868,0.26935851083258633,11
CMCC-CM2-HR4,0.47985467629547146,0.6727418582171583,0.6391803715878868,0.25916592604129385,12
NESM3,0.5208404900562797,0.7724136194010334,0.6391803715878868,0.22491173736570558,13
KACE-1-0-G,0.4225023507252004,0.7024053224128516,0.6391803715878868,0.20030420349084355,14
IPSL-CM6A-LR,0.557750033333268,0.8542903438979862,0.6391803715878868,0.19519281055331494,15
BCC-ESM1,0.3059296048990166,0.7047416053965025,0.6391803715878868,0.12220610334347826,16
MIROC6,0.3773659937902507,0.797329466757691,0.6391803715878868,0.10150200716417446,17
MPI-ESM-1-2-HAM,0.4226109163316296,0.8641251702719774,0.6391803715878868,0.08211430344968673,18
FGOALS-f3-L,0.5631571268219063,1.005312775098287,0.6391803715878868,0.07743184103812573,19
IITM-ESM,0.25570746313676723,0.8546567759871256,0.6391803715878868,-0.02568341952380937,20
ACCESS-ESM1-5,0.19587051996315974,0.9250749503453278,0.6391803715878868,-0.12420375991256605,21
GISS-E2-1-G,0.37370123501604124,1.0780814908916312,0.6391803715878868,-0.13670892756867148,22
ACCESS-CM2,0.2355832408929668,1.0828359330879158,0.6391803715878868,-0.23930904095444228,23
INM-CM4-8,0.7283611276644522,1.5716174680544004,0.6391803715878868,-0.31603817002785983,24
