Model,Correlation,Std_Model,Std_Ref,TSS
CHIRPS,1.0,4.9299969046612215,4.9299969046612215,1.0
ACCESS-CM2,0.663737631121433,5.5138006874193275,4.9299969046612215,0.3810544354554064
ACCESS-ESM1-5,0.6192456407407237,7.357730312054169,4.9299969046612215,0.16963705049074618
AWI-ESM-1-1-LR,0.46278737678528453,4.89899277996854,4.9299969046612215,0.26934691119097387
BCC-ESM1,0.7525566965052671,4.854507056981106,4.9299969046612215,0.506267685271879
CESM2-WACCM,0.6890161545273844,5.939764802455717,4.9299969046612215,0.37098824055569335
CMCC-CM2-HR4,0.5876632994978352,5.30712930050752,4.9299969046612215,0.3315649943330693
EC-Earth3-CC,0.7592683791407016,5.278076686972262,4.9299969046612215,0.4898815405560889
FGOALS-f3-L,0.7161851820117234,6.138614729459753,4.9299969046612215,0.3807711227524021
GFDL-ESM4,0.7231776063401474,4.513790613735277,4.9299969046612215,0.4930327497496547
GISS-E2-1-G,0.5756021992947118,9.604664086094248,4.9299969046612215,-0.12976355852213795
IITM-ESM,0.5168993808305687,3.7958251214433205,4.9299969046612215,0.3687920400637311
INM-CM4-8,0.6832720798120389,5.51097151210308,4.9299969046612215,0.3991702682297229
IPSL-CM6A-LR,0.7487377252829576,4.063142727374551,4.9299969046612215,0.5282577745964183
KACE-1-0-G,0.7410473430356029,5.503711722234415,4.9299969046612215,0.45607095181120605
KIOST-ESM,0.8051000805634004,3.5174129138541073,4.9299969046612215,0.5756124214027083
MIROC6,0.7687093529981534,5.338052544228714,4.9299969046612215,0.4961547883587326
MPI-ESM-1-2-HAM,0.39957307397247577,5.201573518053787,4.9299969046612215,0.20311879794326837
NESM3,0.6567243385028153,5.897308433211725,4.9299969046612215,0.3443487094168408
SAM0-UNICON,0.7353379437818955,6.7819306526611225,4.9299969046612215,0.3407304992431236
TaiESM1,0.4191926191663122,10.259233076733844,4.9299969046612215,-0.3389959521903061
AMME,0.7468831767921937,4.9249291470282355,4.9299969046612215,0.4971509552745442
BMME,0.8070182955022006,4.609177785840188,4.9299969046612215,0.572752052035604
RMME,0.7220241782085703,5.075405338972169,4.9299969046612215,0.46464069786241
