,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS,AMME,BMME,RMME
Afghanistan,1.0728971330830284,1.2643741373233486,1.104706419831555,0.9666266209198973,1.3924967597790796,1.0491914626069347,0.9085417984664671,1.4604217762599359,1.388981107137089,1.3700967232736112,1.1533261988028223,0.37690521405240907,1.51331977173006,1.0424816402937251,0.9129695325960917,1.3690738391597308,1.3399910537680964,1.440674647589925,0.6787520006175073,0.6577275910513832,0.9144476988857915,1.123177771417135,0.9032162830413795,1.1964982675423865
Bangladesh,1.223546715402214,1.2140347848223862,0.2857601706801783,0.988225199488884,0.49528398380534144,1.1836559176028107,0.4317215625051131,0.7295390981196552,0.3968491728641428,0.8623795035718477,0.2729913028851182,2.0693916572804163,0.5351727889197636,0.705173612087599,0.41124578317761395,0.352808111693496,0.08251491884828654,0.5143751597297475,0.4933257924251109,0.628373823156271,0.17019636604126634,0.6938184529532999,0.7016348510399064,0.6912129869244309
Bhutan,1.6150851503358246,1.0508504700741041,0.4141176766184676,1.5792948783424425,0.671806442317758,1.6172723648299434,0.7465944992754103,0.7868085121125294,0.709680530225074,1.1453948413329593,0.8738510193372371,1.613399484391761,1.2917416376572186,1.0626364770626102,0.3457148721096163,0.7321596404468942,0.42585006985196594,0.5990667411746559,1.5675153131528874,1.0370201864052446,0.09435604530278839,0.9942930403527306,1.1712783855420599,0.9352979252896203
Myanmar,1.0235497964214801,0.8709616939484998,0.4681738867204604,0.45260883288435017,0.46702298034261447,0.7619447654277492,0.5331270992747259,0.7199172562557672,0.559710084658868,1.2619665802309834,0.6240209758809967,1.9121863691575034,0.6161508530908568,0.5092798234513959,0.3577432260063233,0.5790634995846853,0.21815621420581105,0.7839936446069153,0.5793229072767379,0.7752269936393875,0.3139558784612016,0.7037063741533056,0.5369493661739773,0.7592920434797482
Nepal,0.9656910862327299,1.2029148861531302,0.5960177873192125,2.54443021455664,1.4107527236022972,2.19367251629974,0.967140258595956,2.13768775901125,1.0185404028627416,0.7607366406235494,1.2748975525799706,1.3092286915977391,1.6300222056614397,1.7971342291933032,0.7195233456425127,0.971818492960552,1.4556188878373346,1.6161071461915455,2.0407038832862128,1.088807510576159,0.3885663128306459,1.3850723110392007,1.6930940436762123,1.2823984001601971
Pakistan,0.46405386091702083,0.7625967221416632,0.5560768436655378,0.42378819062674267,0.6141611889129791,0.4312933409338004,0.37424317155062164,0.6831648900605201,0.4446199851641293,0.6812515784335366,0.5069662641832952,0.1774574382053488,0.5409301717559724,0.5349209125785285,0.34654630164631733,0.470548788549433,0.5344545435289095,0.6312330414096644,0.3115542155255274,0.29628714212256446,0.3447748781689561,0.4893074295956056,0.3774850440566019,0.526581558108607
Sri Lanka,4.043019532815485,4.0116398704976515,3.1062444207604263,3.304671101240385,7.954694600601956,6.563612781386634,5.451355289016153,9.036651353792953,2.9817396813116974,6.5224990727905645,1.3422805775431903,12.490334218751594,5.469579253397499,2.5526780879761293,3.639441796549065,1.9223039637973813,2.199238864122121,2.2456289317962437,10.450950372359484,11.53568790068785,6.78752326058553,5.341212583559723,5.882006268110344,5.16094802204285
Zone 1,1.4967491806175588,1.2408249684826023,1.7154529809515058,2.2052606750450483,2.30550293998468,2.4955909995435293,1.2731255808499315,3.2180349427003536,1.8500683900537878,3.147362236452419,1.5441713324338056,1.7562357746184305,2.9433583641673704,2.281401491793259,1.767893875041252,1.78800827875036,2.598581162951973,3.303121661503042,2.3436824071648488,1.569790130520178,0.6685147336235673,2.1422108686812966,2.017110707528922,2.183910922398755
Zone 10,0.6153669601294939,0.7686604852308055,0.44809636154318744,0.4123591738421033,1.463268915557279,1.2673062396388548,0.5895234829396399,2.3620386472279047,0.5716493457813373,0.6801442497597464,0.4339763049622218,3.9673564519838522,0.6833064687089602,0.5797202064157168,0.5131118327099476,0.6880136539784231,0.10651816696450059,0.4824006443338514,1.4853391648940515,2.244622503976288,0.46254539011097173,1.0181389630289082,0.8535279788049195,1.0730092911035711
Zone 11,1.2528493655521418,1.5002802218897526,0.7698275777181572,0.83542797028027,2.3826197489339465,2.1406574919487307,1.2697917649253585,3.7892762702677527,0.8606989927732054,1.0323770183704042,0.6348504255880557,4.980756435396867,1.174881464317662,0.9499288994962038,1.3317440960683307,1.154888604159624,0.296591917220522,0.6017518651120977,3.2361429829141155,3.936114507908698,1.4092137854386078,1.7065728810420948,1.762752861227361,1.6878462209803393
Zone 12,0.5813763593782314,0.7136841087310382,0.40490791672146337,0.535099098775544,1.30198789664373,1.1536336270894916,0.6129524181690815,1.7300494860494178,0.39822889951074075,0.8920253033460867,0.5696558365820099,4.129991740043387,0.7252795358206365,0.7101895143969444,0.4694745935429361,0.5859799262814995,0.20388102189913557,0.35670256263644035,1.6434710986096022,1.9937828998886213,0.5147998945937444,0.9856176922058021,0.882926167237331,1.0198482005286253
Zone 13,0.07959762533660232,0.15129059266106182,0.06747440522461856,0.16893791407096198,0.20039341335765976,0.4737187640910304,0.1676285085151063,0.3812928379794575,0.13507329575352287,0.3540167775875351,0.1135775218012889,0.5869020329740516,0.07764590072299812,0.1097977329185388,0.08225767252795677,0.09000152725474758,0.01825407086477752,0.05029561792536194,0.3927857211153723,0.31270492367160097,0.004976627762305081,0.20068234281771252,0.2570657160640855,0.18188788506892153
Zone 14,0.30849813980815577,0.6457027255868297,0.14848712544138487,0.2900593630024367,0.176161018334134,0.317974425881462,0.19949745053878035,0.23743296700044667,0.1945586379094563,0.282984879949266,0.32314180778077234,0.39239559961343795,0.21383711470705086,0.2130666693424831,0.04709709345447139,0.15808065234035884,0.13576897275296776,0.2489849312906367,0.3529713549697874,0.20916345760480876,0.02425201972273581,0.25479321936545635,0.24151993756938755,0.25921764663081265
Zone 15,1.4183597084290929,1.2208421617443117,3.8627828145099916,0.5798748120420449,2.125367256920473,0.6010104257224805,1.452731315503483,2.3534783939789965,0.9791433823773545,1.0031161383556215,3.358180266448835,4.225897460384979,1.0417990396854002,0.5629926367901225,0.8875993450735277,3.1057666091920293,1.1152898719252076,1.0336297022118706,2.521303279082498,3.294919516973608,3.1878905022355215,1.8372042068675964,1.2085038354848068,2.046770997328526
Zone 2,1.4760157195926507,1.2574080369159444,0.9280895700211784,1.147375015116431,1.0979969369379443,1.2981208167132687,0.723893360824792,0.9657598934764039,1.1935325612967933,3.2580639972188665,0.5400486029667779,2.494828473563794,1.243900880710103,1.1445598316856977,1.36989098309237,0.6531792841066748,0.76496510065593,1.4575873872412743,1.4994409237098443,1.924890540255449,0.2686229466973145,1.3219773958051093,1.2077442198913413,1.360055121109699
Zone 3,1.155317656714521,1.4096879895272623,0.2669728581273817,1.0757993922639977,0.5547274002145128,1.236053741512473,0.4157474627140105,0.8783621612550869,0.40233801750583176,0.48683755800091744,0.30480835222422065,1.6724900288532685,0.4420082692722899,1.0488115731713026,0.5370035383869812,0.41290372595436275,0.1732372570766676,0.4519592873356868,0.5511813480905257,0.655048000257226,0.07510742336455886,0.7065647809229264,0.7631570965935977,0.6877006756993692
Zone 4,0.9313764399073703,1.700192711998453,0.2125905588988699,1.5530608275469278,0.5499907540440275,1.432345131225196,0.46208902620910325,0.9662259288506462,0.6658913651840946,0.2684384255917079,0.49398998484303247,1.0904544416931834,0.4148565160878896,1.1617871932284405,0.48254385344487494,0.580130104192715,0.2658337974102145,0.5291268386387614,0.7437398975263743,0.4890554602233113,0.06336179285350389,0.7496859628372597,0.9347557471904954,0.6879960347195145
Zone 5,1.1595941172038329,1.747875836349369,0.382144577878097,1.405987477927538,0.7827822343665084,1.1660112737394062,0.6059529556447107,0.8566958131412756,0.8088778782920301,0.5219779159386005,0.8180655376246994,1.412951806879096,0.5250378900482195,1.0787231293560149,0.4765211764152696,0.4437026011287,0.6927808306511478,1.085838420384732,0.9662991106029156,0.6104636133088468,0.23509149550092504,0.8774142098440505,0.9241543988659683,0.8618341468367445
Zone 6,1.2032263736435227,2.0111742263443113,0.6603492483010713,0.8980998303808859,0.7211695196751591,0.9106804625326429,0.6558787965014446,0.7626734884019628,0.7869665328497824,0.7521582254774618,0.9008015325005014,1.1747654374194116,0.8689033046029611,1.0583326328538323,0.43533732996746927,0.511027080153756,1.034198717466144,1.580423539166898,0.8495539879157452,0.3837361693180865,0.3376272640612373,0.9079728217736523,0.7499100814596377,0.9606604018783241
Zone 7,0.829789841050007,1.5000074043305267,0.28440367514281656,0.8835554729634042,0.5144959189962124,1.0219117000913451,0.569839800555348,1.1962101226283726,0.5818660769809965,0.26629952960122383,0.859479115607483,1.6453181305899596,0.5024017615552238,1.0144130677889065,0.3266743456301726,0.5343186182651289,0.13799753125517464,0.5349876488905837,0.5290028501696915,0.6835327105185863,0.0747807996999698,0.7208252661305581,0.6661968338819921,0.7390347435467468
Zone 8,0.517370625918795,1.0038398414661345,0.27946290815939473,0.7293331910814724,0.5741919154521463,1.0119977976101184,0.4356693353981962,0.7085446468643809,0.4883974584666581,0.22900962400212627,0.6421042503989638,1.197409572412629,0.42120715049707114,0.5096551229560073,0.20624218937406547,0.34577689307631887,0.16318599495865987,0.41195272463461474,0.6629836128376001,0.6000830135086945,0.0808119890368636,0.5569208934537023,0.6092452252602906,0.539479449518173
Zone 9,0.31807954897198587,0.5529990029592123,0.22931892095176248,0.3503828869126293,0.5576751553002078,0.7714450829905288,0.4151907328711526,0.6301040014396598,0.369957870627375,0.22832944735147243,0.4583055567094991,1.6155231146322517,0.34962943174592503,0.2743023872545687,0.1748507609480007,0.35925210126109275,0.05132273467564447,0.2680073470057375,0.5845287082228561,0.5569916884852342,0.0797713881080117,0.4558098240658398,0.45927963438903346,0.4546532206247753
