Model,Correlation,Std_Model,Std_Ref,TSS,Rank
BCC-ESM1,0.9011824853061188,1.058105815819491,1.8134252748393482,0.6199986570259995,1
EC-Earth3-CC,0.8481752824914591,1.1704705555220347,1.8134252748393482,0.5989405898870213,2
CMCC-CM2-HR4,0.7986641402931399,1.2199254247977158,1.8134252748393482,0.5652599633612199,3
SAM0-UNICON,0.7556617403465434,1.4152766816426932,1.8134252748393482,0.5365404606226347,4
MPI-ESM-1-2-HAM,0.7137416305266018,1.3282315712569563,1.8134252748393482,0.5045594661796808,5
IPSL-CM6A-LR,0.6835839082678253,1.1958349482559092,1.8134252748393482,0.4836201782119798,6
KACE-1-0-G,0.6953294623898214,1.5377716305409852,1.8134252748393482,0.48046990342310936,7
NESM3,0.6645803790630623,1.5329884502141924,1.8134252748393482,0.45639515798008923,8
IITM-ESM,0.7211743586712225,1.9205824785107122,1.8134252748393482,0.45497925053019483,9
KIOST-ESM,0.6995688490020702,0.6834811912296321,1.8134252748393482,0.44560024226533423,10
AWI-ESM-1-1-LR,0.5446963448383265,1.3044271549105382,1.8134252748393482,0.39427804483531204,11
CESM2-WACCM,0.5631744286911858,1.6326117720126923,1.8134252748393482,0.36893635997739826,12
FGOALS-f3-L,0.40523641003894445,0.9190811798627523,1.8134252748393482,0.3495759891599465,13
GFDL-ESM4,0.42173011550044115,1.107920115057723,1.8134252748393482,0.3450383476573179,14
MIROC6,0.6249125100042157,2.2674275812970417,1.8134252748393482,0.292658429153522,15
ACCESS-CM2,0.6914333818546162,2.5458922883145707,1.8134252748393482,0.2825225274321419,16
ACCESS-ESM1-5,0.6469039437712246,2.5626455113473288,1.8134252748393482,0.23558802495932263,17
INM-CM4-8,0.6823702098073288,2.7987403432610694,1.8134252748393482,0.20136115071576732,18
GISS-E2-1-G,0.5986105085997631,2.9022147184982807,1.8134252748393482,0.09301116685655841,19
TaiESM1,0.6856207112112789,3.3850143099149075,1.8134252748393482,0.018997041886419375,20
