,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS
Afghanistan,0.16860133111393777,0.22522064086863106,0.2582831770335261,0.08183946794752767,0.2600303877575058,0.6782804527415156,0.1172459461002237,0.3590536458443082,0.09845425965111944,0.2856800282129982,0.09349517500266652,0.12980011821245604,0.5644426290559938,0.05788366773608293,0.2984000269200311,0.12882984574167666,0.2070574119070941,0.09435562746459863,0.08156684692299085,0.1835823731083701,0.11294007629525028
Bangladesh,15.627344885489784,24.161063177763662,7.301304983616819,12.94918723392311,9.027524488179159,6.8375984437096,7.7007698645953955,9.271859880205488,8.307945477432048,22.23683616654191,5.022366293284127,13.755267526822674,9.29696310182914,15.271912908555555,11.334233882430553,7.982520487851167,6.031657070777804,11.085232750520708,15.389505529769853,7.265399164782879,14.36107215020875
Bhutan,14.510648334093139,17.325568858119123,19.164063145635954,13.56428474777601,20.102489739214004,13.898419790555542,17.82713367312992,17.748014274425795,14.048369312819545,40.71929752615324,11.024959173950162,9.841861875540015,11.198341647120095,15.113371548718142,5.616812627827231,15.036217349851615,19.568533693756525,20.25170479934125,11.244331968778184,33.49504341902304,9.152513429804149
Myanmar,14.067120653370264,16.34816802309646,8.309885385729267,13.647719044208074,12.820696737455949,10.368935372061943,12.420259278702941,15.963042888098254,11.387769758228192,14.752078456499836,6.791563770750818,13.412188306842515,11.325350922453866,14.926649815183216,7.839261037088617,10.516475619931425,7.9795110408976315,11.492155136878992,12.564670320763923,9.686775802228004,11.993491554849035
Nepal,11.188811180978188,15.520781381149291,17.380014849148118,11.17719876645269,18.929208760576785,20.76217634698959,14.492077826032205,11.902604937181778,12.667615982529512,5.589161143880841,11.585672698931532,9.133815562837635,10.038540123712115,12.098158388685407,4.614174411584946,15.805785670981088,14.876417698974231,17.09736986113078,14.324362360180777,31.15163558554166,9.08397658227631
Pakistan,0.32939928620008513,0.9895306281705575,2.1171624070680313,0.37729002460787564,1.3378676128910247,3.0839299290816498,1.6007989555613198,0.9632612188257549,0.604244932056691,0.4780211647943035,0.4946908426654928,1.3517041640908352,2.4576029676202076,0.31306261475677916,1.572088179647602,0.30374026172758933,1.1260452071066536,0.407406220878085,1.1162208098652378,1.059908122397185,1.546874836841992
Sri Lanka,6.173245686048578,7.097375535958785,5.566520383822869,10.207281285216736,9.64916516915164,7.56382605328723,5.951583962974871,9.25439518015021,7.058697526133672,8.28626395872621,0.7872562196456507,5.211957367517857,5.906918224515021,7.251321489139377,6.627245962564259,6.459672637444979,3.3709349301309786,7.224528833900696,13.849285560066292,7.753004550655038,3.2438796393418365
Zone 1,2.6590207773395735,6.866289750177721,5.8884860035621,1.1466690336942724,4.984876576889068,7.811440392338384,5.033573326356864,3.4297986338974527,3.3485308424250975,1.477246151138249,5.109304484987111,5.762934515177526,2.578816735705811,2.7391797015103685,3.311420034235171,3.779856655119223,4.607081162593251,4.526834476334549,3.308468746078779,6.340128279716339,3.560991351281775
Zone 10,2.8057698830265485,2.749709859377685,6.088353744085163,8.05756014703509,7.597266712516724,9.542846214862152,5.171374223548159,10.497215237530677,9.201584266816981,6.436994369887049,2.422289410623744,6.841891206166424,9.446525066045304,6.390688730292466,5.685625498414156,8.329535855466448,3.249378501740542,6.484936434798946,9.157871099924648,8.779297422660118,5.439367753480467
Zone 11,4.386265068071217,2.7085901853819783,8.92139312070849,7.338851087902217,7.501852121675059,8.697595353617212,4.954877114168624,5.068326467470858,7.6597294482872105,3.8549656101848426,3.7727553140653622,6.825829573074011,6.644097220994298,5.837899154373119,5.804857497929278,8.122103353462586,7.886066234984226,6.288207398771327,8.45369510653012,7.1515976603176155,6.698402815070681
Zone 12,7.315320065523717,8.929995524021688,6.8230114580874055,9.462545549668569,11.873267764310192,14.246789186689478,15.39360127001418,22.562522434463638,13.305129157405815,12.019398563786245,3.7981605925429163,10.876704913112134,12.017766831747384,13.38445716723204,8.232689970612668,10.592638071436935,3.1735409908121084,9.375397600813303,17.870791865293143,13.02593912508651,15.146916420864827
Zone 13,0.5809655261611999,1.125728676111735,4.005101665529505,2.333498659741456,3.2352805961966427,8.405262639734401,4.263495037214102,4.2333219792151375,4.566160400186696,1.2782108774947758,1.5365514826413749,6.822672332149714,7.705531050940816,1.1699369531443262,4.575153419447737,1.578535682556402,0.6188855341202015,0.8119880868776381,5.13494319127534,4.839743148240599,5.7953485173207495
