Model,Avg_TSS,Months_Count
EC-Earth3-CC,0.6031501533109315,12
KIOST-ESM,0.5536198800579016,12
BCC-ESM1,0.5041566864958743,12
SAM0-UNICON,0.5028087525300963,12
CMCC-CM2-HR4,0.48096095169713465,12
GFDL-ESM4,0.47592567937600255,12
IPSL-CM6A-LR,0.47587023145824975,12
CESM2-WACCM,0.4746700885434289,12
AWI-ESM-1-1-LR,0.46091699811854564,12
KACE-1-0-G,0.4599313572583241,12
NESM3,0.45231679090455335,12
FGOALS-f3-L,0.4363071926769699,12
MPI-ESM-1-2-HAM,0.36996066183446613,12
IITM-ESM,0.36861546337985923,12
MIROC6,0.3666098184712491,12
ACCESS-CM2,0.338180748907775,12
INM-CM4-8,0.2898835543553649,12
ACCESS-ESM1-5,0.26362866282550795,12
TaiESM1,0.14361983655912267,12
GISS-E2-1-G,0.09063040689375286,12
