Model,Correlation,Std_Model,TSS,Std_Ref
ERA5,1.0,7.15,1.0,9.297199643570298
ACCESS-CM2,0.968,7.59,0.795,9.297199643570298
ACCESS-ESM1-5,0.949,7.466,0.759,9.297199643570298
AWI-ESM-1-1-LR,0.968,6.683,0.822,9.297199643570298
BCC-ESM1,0.919,7.181,0.715,9.297199643570298
CESM2-WACCM,0.973,6.907,0.837,9.297199643570298
CMCC-CM2-HR4,0.979,7.328,0.855,9.297199643570298
EC-Earth3-CC,0.987,7.582,0.872,9.297199643570298
FGOALS-f3-L,0.981,7.712,0.838,9.297199643570298
GFDL-ESM4,0.98,7.726,0.829,9.297199643570298
GISS-E2-1-G,0.943,6.973,0.736,9.297199643570298
IITM-ESM,0.968,7.547,0.804,9.297199643570298
INM-CM4-8,0.955,6.456,0.787,9.297199643570298
IPSL-CM6A-LR,0.983,8.383,0.804,9.297199643570298
KACE-1-0-G,0.929,6.823,0.733,9.297199643570298
KIOST-ESM,0.986,7.485,0.863,9.297199643570298
MIROC6,0.921,7.605,0.701,9.297199643570298
MPI-ESM-1-2-HAM,0.977,7.113,0.85,9.297199643570298
NESM3,0.961,6.865,0.81,9.297199643570298
SAM0-UNICON,0.975,7.525,0.833,9.297199643570298
TaiESM1,0.964,7.575,0.795,9.297199643570298
AMME,0.983,7.196,0.865,9.297199643570298
BMME,0.988,7.403,0.884,9.297199643570298
RMME,0.98,7.135,0.854,9.297199643570298
