time,Afghanistan_corrected,Bangladesh_corrected,Bhutan_corrected,Myanmar_corrected,Nepal_corrected,Pakistan_corrected,Sri Lanka_corrected,Zone 1_corrected,Zone 10_corrected,Zone 11_corrected,Zone 12_corrected,Zone 13_corrected,Zone 14_corrected,Zone 15_corrected,Zone 2_corrected,Zone 3_corrected,Zone 4_corrected,Zone 5_corrected,Zone 6_corrected,Zone 7_corrected,Zone 8_corrected,Zone 9_corrected
2025-01-01,-3.09212,18.621094,9.416784,19.017714,1.8352002,11.414447,24.955317,-12.115284,23.511518,23.132174,24.385292,20.455372,16.055023,26.487835,10.703943,18.188875,15.868123,14.938459,11.9140215,18.547432,18.108936,21.01529
2025-02-01,4.527567,20.703632,10.132059,20.80432,1.7628016,14.830147,25.251749,-8.528492,24.645597,23.90768,24.65391,21.403969,18.104713,26.529768,12.747296,21.438017,17.004808,14.932931,12.591988,20.57681,17.089832,23.936752
2025-03-01,8.437761,25.603106,13.056285,23.499002,8.542075,17.384327,25.909065,-8.592223,24.374474,27.27846,25.267038,26.91202,22.615557,27.624107,14.583164,26.796175,24.824549,23.454727,18.333,26.176165,22.545975,26.771456
2025-04-01,13.548944,27.006643,16.353138,25.845482,10.656634,24.381704,26.680899,0.09966651,29.806778,27.456182,27.41986,31.234879,30.199419,27.6701,18.70962,27.91953,29.649057,27.844307,25.635843,30.22424,30.756088,30.697254
2025-05-01,17.752628,27.5346,17.950153,25.86838,12.733792,27.60572,26.491837,2.7629044,29.392662,30.997963,26.994047,31.102829,32.532856,27.975931,20.080254,28.796515,28.612907,28.830622,29.102135,31.835632,32.51085,31.247782
2025-06-01,22.346277,27.784277,20.366629,24.754562,15.839415,30.836676,26.266699,7.605545,24.390657,29.19611,24.714266,31.150461,33.25436,27.506962,21.838486,28.08201,28.779976,29.547762,31.155254,27.57607,30.921192,27.643969
2025-07-01,24.991892,27.234173,20.418896,24.641253,16.991074,30.517975,25.991236,11.135587,25.190603,27.391285,24.491814,28.027096,31.63276,27.04819,22.001852,28.190466,28.288004,28.222797,29.501972,26.578932,27.888136,25.908686
2025-08-01,23.658375,27.276623,21.070858,24.572681,16.986753,29.41428,25.960403,11.86395,24.172773,26.70252,24.33006,27.341291,31.488735,27.447485,22.082935,28.042229,28.239777,26.827568,28.529585,25.753159,26.492073,25.370153
2025-09-01,18.978348,27.188553,19.951727,24.268604,15.40552,28.104538,26.414167,7.844351,24.884249,26.701252,24.734968,27.654163,28.977,26.79664,21.335947,28.184294,27.715162,25.234417,26.917606,25.756493,26.539223,24.481756
2025-10-01,11.413375,25.961926,17.89423,23.393812,11.8526125,20.221188,25.783327,2.1139252,24.864697,25.327427,24.742556,25.918554,26.930845,26.946653,20.109442,26.958538,24.997206,21.999355,21.694887,23.109566,24.915876,23.515762
2025-11-01,5.014234,22.17349,12.051828,21.53605,4.770001,18.079792,24.959612,-6.037465,23.565693,24.498234,24.87234,23.277008,21.883858,26.795765,13.756319,22.000412,20.689615,18.914812,17.409485,22.280136,20.929184,23.487505
2025-12-01,1.7508935,18.990541,10.144667,18.879301,3.9139276,14.718463,24.755419,-11.769407,22.36152,22.907696,23.92475,21.37508,18.247807,26.403543,11.378118,18.89715,17.15477,14.885693,13.369038,19.067118,17.139387,20.993954
2026-01-01,-2.0543544,18.34434,9.866145,18.136759,1.9638934,11.414447,24.56974,-12.115284,23.133512,22.99536,24.385292,20.455372,16.055023,26.171608,11.195078,17.343037,16.220266,14.938459,11.9140215,19.490759,18.108936,21.01529
