Model,Zone,RMSE
RandomForest,Afghanistan,1.6839152375460016
LightGBM,Bangladesh,0.7098753454196948
StackingEnsemble,Bhutan,1.290079523593862
RandomForest,Myanmar,0.6504752920497424
StackingEnsemble,Nepal,1.6703060315541642
GradientBoosting,Pakistan,1.6276236535271937
CatBoost,Sri Lanka,0.3146148097538816
LightGBM,Zone 1,1.863739817683454
StackingEnsemble,Zone 10,0.4899249321628135
LightGBM,Zone 11,0.33794731419615043
GradientBoosting,Zone 12,0.3418318983509424
XGBoost,Zone 13,0.8142640359662479
RandomForest,Zone 14,2.1007778236732584
CatBoost,Zone 15,0.28338336950468
XGBoost,Zone 2,1.0978110492029525
LightGBM,Zone 3,0.8380899366549492
StackingEnsemble,Zone 4,1.1085105104453175
LightGBM,Zone 5,1.4804068533522066
RandomForest,Zone 6,2.0142122410074883
LightGBM,Zone 7,1.1465713918168414
RandomForest,Zone 8,1.4743242643118595
LightGBM,Zone 9,1.0264381166302294
