polygon,month,slope
Sri Lanka,1,0.018835602051962958
Afghanistan,1,0.05747927065537807
Myanmar,1,0.003545464813542889
Nepal,1,0.014058828317456746
Pakistan,1,0.0404459195552502
Bhutan,1,0.021768274025513207
Bangladesh,1,0.007199671546367584
Zone 7,1,0.004959108265010166
Zone 13,1,0.022422742741262387
Zone 14,1,0.027780610563397118
Zone 6,1,0.024146368437280543
Zone 15,1,0.008200364859772932
Zone 5,1,0.005302154158897331
Zone 8,1,0.01484283256872737
Zone 9,1,0.0010813739144026127
Zone 10,1,0.0066035320879763125
Zone 12,1,0.0169099988943534
Zone 11,1,0.011316518654230693
Zone 4,1,0.0012753424888410786
Zone 3,1,0.003389921425008042
Zone 2,1,0.010773312996778056
Zone 1,1,0.029951766385432378
Sri Lanka,2,0.018767049619901565
Afghanistan,2,0.05961474572541031
Myanmar,2,0.009758937251166775
Nepal,2,0.024856610564883978
Pakistan,2,0.04177902483286472
Bhutan,2,0.02658716355123846
Bangladesh,2,0.01621057053750219
Zone 7,2,0.015431374718106749
Zone 13,2,0.030570962369549325
Zone 14,2,0.02953944710981093
Zone 6,2,0.02339142453239278
Zone 15,2,0.013266839233588224
Zone 5,2,0.010563453114148864
Zone 8,2,0.016770223484140638
Zone 9,2,0.016400711410773573
Zone 10,2,0.013089761427140295
Zone 12,2,0.020217960526804735
Zone 11,2,0.012754624865004201
Zone 4,2,0.012428171983594846
Zone 3,2,0.010693872859974
Zone 2,2,0.024153951559765748
Zone 1,2,0.035275729704030936
Sri Lanka,3,0.020197570048587937
Afghanistan,3,0.03948458816474807
Myanmar,3,0.020077765949768685
Nepal,3,0.04272740380730736
Pakistan,3,0.0371583096800441
Bhutan,3,0.04024877719172122
Bangladesh,3,0.02421904393966143
Zone 7,3,0.031433472124880076
Zone 13,3,0.02941822742948132
Zone 14,3,0.03360371620560221
Zone 6,3,0.03634605792941957
Zone 15,3,0.00851387145448209
Zone 5,3,0.028627127751743604
Zone 8,3,0.029306953168902986
Zone 9,3,0.030692544866751523
Zone 10,3,0.02377332680728974
Zone 12,3,0.026684406681732255
Zone 11,3,0.020001134493406653
Zone 4,3,0.029989967950796566
Zone 3,3,0.024427090498866103
Zone 2,3,0.030098655811338464
Zone 1,3,0.047418125626756354
Sri Lanka,4,0.022522552822828407
Afghanistan,4,0.04261793338232436
Myanmar,4,0.029192181336297456
Nepal,4,0.041384209832348244
Pakistan,4,0.03753690283483279
Bhutan,4,0.04125037608729677
Bangladesh,4,0.027838162325961546
Zone 7,4,0.025232295727452555
Zone 13,4,0.034641233689627925
Zone 14,4,0.039662977945719595
Zone 6,4,0.03540321703136677
Zone 15,4,0.003106844140475934
Zone 5,4,0.029770976977354074
Zone 8,4,0.02984070613904696
Zone 9,4,0.03219474575255566
Zone 10,4,0.019259583616110756
Zone 12,4,0.02450399160256413
Zone 11,4,0.01689275083046018
Zone 4,4,0.029323836896703603
Zone 3,4,0.02834777037264085
Zone 2,4,0.037399679665559446
Zone 1,4,0.0444456870560574
Sri Lanka,5,0.017039737404555957
