,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5,AMME,BMME,RMME
Afghanistan,5.748247931985317,5.6404671154770485,5.642482236994694,6.245368899134862,8.420319867134126,4.802514780035239,2.9709910212774915,3.2172777161878985,3.8169957960353478,7.560957001237333,5.375568851599758,8.195135534510916,0.5668288987201509,4.908598125682181,4.731773289278446,10.56331109476109,5.352861391430251,5.13081906784543,5.506945898719893,6.984283429267392,4.709966988452677,5.569087397365743,4.215083639641865,6.020421983273702
Bangladesh,23.707177145197047,21.878049704895506,23.809297885319072,23.234395243675433,25.276714974351147,26.33299959507826,25.558543285943912,24.0946168234985,24.286809681335754,25.18000890119046,23.695239053074538,21.314065655324278,23.14663023893606,27.167725935025477,25.245919916029266,25.60552788059199,25.643000272933246,21.56217971942143,23.086017203582745,24.12163506609045,24.637714746770076,24.197327709074727,25.375015978696638,23.804764952534097
Bhutan,8.49729492187503,7.267596375708507,8.819052577570284,9.267655181513156,10.305301511677305,9.700298358194233,9.669621152536742,8.675478084788628,8.079189309512893,15.965417965159721,6.697214154437405,7.655410108379317,6.833712510927669,10.380030541513507,9.786161375357455,12.091524603550408,9.48528788233375,9.805649608523002,6.362291189954215,7.784554802389751,13.658974287944355,9.15643711079515,9.46336937064216,9.054126357512812
Myanmar,21.494738038648098,23.485284456952986,21.342622295088365,22.541268441813102,22.484816675782785,22.739845500361934,23.66624654185334,21.095555182064306,22.68258337453636,23.589083309333894,21.869636026915224,20.55476460122931,21.091136802402975,25.84136854754111,24.312493028115398,23.027165076131247,22.76843605399559,20.592326411296362,20.64419620720503,21.425590843891698,23.738042742266966,22.362457870757957,22.916515261278114,22.177772073917904
Nepal,9.133767931000547,7.14933842677699,6.755312753943429,7.462736263070819,10.479102097127521,8.664515831713132,8.096142725155481,6.81242718736671,7.898400481408455,15.296803751713114,6.464374334687693,7.9544586673170485,3.592429692462799,13.26255860742737,6.536347737922263,11.657502564774488,7.508261032752433,8.098940733038667,6.63993154146424,8.702215823717589,6.614557673160853,8.408278409242039,7.523538902982004,8.703191577995383
Pakistan,18.13529777443749,15.765910747420063,17.4514236415944,14.680383718797561,19.887489232968512,17.056570828298618,17.09008195754396,16.03935392604157,16.708317588357392,18.19893478692749,16.586684790003577,17.937317695285266,13.383183576028582,15.475485209546083,16.973132613229858,23.06335724952182,17.555093853398986,17.402000423340585,17.85284595475652,19.43044353262101,18.263982417775807,17.333665455005967,16.942846635702598,17.463938394773756
Sri Lanka,29.486727606081523,29.8428977367925,27.609111995208508,28.411868969747726,27.06306905559467,27.13121089561315,26.642545698398802,26.58472303502703,26.488497857486525,27.837619916130535,28.817803203053828,25.989925489238683,26.874019516786813,29.61551729090076,26.75060333052494,30.91324238140253,28.5409520317766,28.076456811145814,25.6727727478626,26.362044121237385,26.48617098805188,27.73558048450055,27.1300069982681,27.937438313244694
Zone 1,-3.084841145173024,-2.839759794677542,-5.047974807034107,-1.710908447821386,-2.529986572867427,-6.040338076646713,-8.41320653040183,-6.609752260405414,-6.9245092411311795,-1.9777377501945934,-4.001955017341778,-1.3398235916849308,-11.036705491871086,1.3732085872131963,-5.566170089374376,-1.8797702042356996,-4.363205424271153,-4.511353021759456,-6.796224735630543,-4.922700465582536,-6.3805169342480905,-4.411185704044579,-6.198534476219898,-3.81540277998614
Zone 10,29.753497499408166,29.670549318582218,25.427755756567215,30.727644474329047,27.9658769963779,28.289551272499022,28.143776833510554,26.736311446409204,27.27335082681424,27.167293658741045,28.100501784411918,25.460529160117108,26.256337386018085,28.38290883617891,28.97837646327227,30.71542554454872,27.78811206305294,26.560695198753507,26.60360462689643,26.742412721418987,28.036725769773376,27.837225593395374,27.987225615748798,27.78722558594423
Zone 11,29.340266676332014,28.164012452311688,25.323858094439743,29.262653250223437,27.57871909570444,27.728970089487106,27.61999810959746,26.28802774039306,26.63047187441874,27.343744464949093,28.384498531871287,25.79497451283575,26.589195691725674,28.533323337473032,28.01721824125974,30.189672239577796,26.81020805946846,26.131027897903206,26.47620730146309,27.08570570412955,27.737111966230003,27.46463766827822,27.292884448041168,27.521888741690567
