Model,Avg_TSS,Months_Count
ERA5,1.0,12
BMME,0.8837045398669076,12
EC-Earth3-CC,0.872317427859313,12
AMME,0.8647059337368184,12
KIOST-ESM,0.8632074818301908,12
CMCC-CM2-HR4,0.8546803083271541,12
RMME,0.8536957782881583,12
MPI-ESM-1-2-HAM,0.8495826251824815,12
FGOALS-f3-L,0.8382453759493652,12
CESM2-WACCM,0.8365761491475815,12
SAM0-UNICON,0.8328069653076017,12
GFDL-ESM4,0.8291107429011606,12
AWI-ESM-1-1-LR,0.8220273622510527,12
NESM3,0.8096382130183791,12
IPSL-CM6A-LR,0.8040842037587356,12
IITM-ESM,0.804013871132898,12
TaiESM1,0.7954683885253265,12
ACCESS-CM2,0.7947296309275279,12
INM-CM4-8,0.7866625049998057,12
ACCESS-ESM1-5,0.7594191592503514,12
GISS-E2-1-G,0.7362757764437693,12
KACE-1-0-G,0.7334747749996793,12
BCC-ESM1,0.7149412112210359,12
MIROC6,0.701368493597114,12
