Model,Correlation,Std_Model,Std_Ref,TSS
ACCESS-CM2,0.9519651635508637,6.9328857320641175,6.0130176789107965,0.7409931804834125
ACCESS-ESM1-5,0.9399636810130867,6.558203189146584,6.0130176789107965,0.7362008994005548
AWI-ESM-1-1-LR,0.9558911209380778,5.5621696638339015,6.0130176789107965,0.7911638101784915
BCC-ESM1,0.9116629410290051,4.941023780459265,6.0130176789107965,0.7025439457879568
CESM2-WACCM,0.963529866460894,6.09190192506796,6.0130176789107965,0.8075561512862652
CMCC-CM2-HR4,0.971253544996139,6.109506114475762,6.0130176789107965,0.8287210341202793
EC-Earth3-CC,0.9739839848266209,7.092167182820147,6.0130176789107965,0.7836909197296148
FGOALS-f3-L,0.9689767698672527,6.829719367988704,6.0130176789107965,0.7891428929674527
GFDL-ESM4,0.9724221961307525,7.597841769589301,6.0130176789107965,0.7362202589554205
GISS-E2-1-G,0.932426350065157,6.313240771710308,6.0130176789107965,0.7313106435254477
IITM-ESM,0.9630301948280724,6.152929308817263,6.0130176789107965,0.8048059276787349
INM-CM4-8,0.9376462259023486,5.6871731571113635,6.0130176789107965,0.7541482105827342
IPSL-CM6A-LR,0.9709242357269989,7.523367578981288,6.0130176789107965,0.7393762932657192
KACE-1-0-G,0.899315196067769,5.861995883493336,6.0130176789107965,0.6861984294807091
KIOST-ESM,0.9887887431531776,6.693497860701645,6.0130176789107965,0.8625827895466749
MIROC6,0.8927342096980861,7.31414074621647,6.0130176789107965,0.6077149889459005
MPI-ESM-1-2-HAM,0.967166321476898,5.798270560731624,6.0130176789107965,0.8202813293882817
NESM3,0.9574761049868882,6.226861525403798,6.0130176789107965,0.7886505892591608
SAM0-UNICON,0.961260056757629,6.685316388399916,6.0130176789107965,0.7779149401843585
TaiESM1,0.9487144797322481,6.75941075120983,6.0130176789107965,0.7443525116299818
