,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5
Afghanistan,16.797017467723197,17.36875197840675,20.25528704877877,20.236634614765734,20.133873743247392,20.145542327718825,19.35280873096737,17.36629397869113,17.811804868193263,19.0075384097941,18.017081558303015,18.415545163902603,16.649098239291515,15.433012827704959,18.157006171949558,27.83844952489669,19.393322940201216,21.574417937400856,19.12694953500838,20.78296595554729,18.63212171189335
Bangladesh,28.04468460198084,28.66685126809515,27.218559154328755,25.221115800172065,29.7439035130842,29.248519091560617,26.89641768750103,28.86961923314438,27.464369602117085,25.643921941006372,26.209567882076154,24.461306491121118,26.238911895053064,29.27925318377053,25.54752204438562,28.012989947441326,27.283174380848813,25.650665520303438,26.93363186628633,27.456574185209842,26.39368989325805
Bhutan,15.74869241153496,16.933065843769178,15.237090659768523,16.890045685450026,18.008086266611176,16.986395361407954,16.50780856939113,16.45413757324221,16.411929859834583,15.681924653894786,12.692542867288486,14.753540607527217,15.215418528225548,16.31519636565567,15.453182738061066,16.944661015825588,14.639379340868928,16.149569871363248,15.45212970608983,15.851307217467104,19.254229291371356
Myanmar,24.371237554470053,25.217870445144648,23.2669841927535,23.58737479822841,25.79378053431865,24.95164517207642,23.545028435505134,24.392775636560806,23.564584796168248,23.744874128774462,22.39396841844569,23.086081013826455,23.65819772839109,25.45674335469053,22.607455689922677,24.43139339535433,23.064611678898384,23.270578547750493,23.561719254708336,24.172629186931246,23.592379017998645
Nepal,15.970650484314838,16.667014314881257,15.396023634860697,16.827397058426,18.77954545684446,17.20993161704584,16.48345338839239,16.65028353779261,16.043921616498217,21.48990343238128,13.44837037490801,15.515444296615154,13.430987599791623,20.309234243013634,13.939480877189737,17.65866758546071,14.644031348029328,16.211957567945454,16.18375662475074,16.954896728130958,14.90710256209033
Pakistan,27.617809367127947,26.778537581533158,27.71856764032562,27.126467177335766,30.351931346943193,28.27192938665421,28.010642211223427,27.380707698398194,28.84659747204752,28.01785600325643,27.063444163693095,26.605868147141553,25.36240863211007,24.93384927654061,27.55208286723108,36.90224014431542,27.683801936700135,30.518961465174485,29.204330694424407,30.729927458655798,26.957358007964398
Sri Lanka,27.672617474724284,28.452578047210128,26.501869498218213,28.538560833405846,27.46714320213968,26.91035343244967,25.4029583632516,26.837557242898402,25.544805414536448,26.727086818919485,27.56830012360733,27.092068122415,26.145891512375858,27.444682042738997,26.273912965861815,28.07181516233768,27.140235374862403,25.520141826120852,26.34031019522476,26.9728404225867,26.197702472660367
Zone 1,7.841243918769042,8.69639126440416,9.529516453564092,12.790714693510683,11.691436117093597,8.168786765359311,7.545412424743741,6.582257321495099,5.658391420933128,7.351905488484315,6.913759388312021,10.855201168202187,1.7636133475158404,12.718527508491299,4.865664293015328,13.543790281998977,8.722354537263188,11.031398644918541,8.178905991560086,9.395541113079059,7.1526586566468024
Zone 10,29.172206613469278,30.70382042180482,22.857316416613802,26.72857882212517,25.974677208613187,25.41117085747543,25.332864186431834,26.00732200744958,24.14357252477965,27.746610288569027,24.892160942589886,24.697317220197167,24.65275000712532,27.71606189276731,25.330720392938535,26.596543916133204,23.98007184994421,23.12492406430008,24.952432608344747,24.87103889361071,25.175681485263798
Zone 11,30.843800594782206,31.80136948700382,25.26745709644028,28.119291825248514,28.730107267245028,27.568509353746954,27.76936643874043,27.846244581206534,26.48592782327777,29.096788738688858,26.884126473559594,26.431940459492743,26.476508903213944,29.30594328551736,26.87303864698415,28.66875634734584,25.809751753298936,25.263288122593707,27.374998895839287,27.48687475936422,27.43220261745948
